proposals_count,stored_docs_count,new_docs_count,compressed,avg_duration,   PR,     note
100,            ,0               ,583           ,true      ,0:00:04.008009  ,-      ,-
100,            ,559             ,548           ,true      ,0:00:04.530291  ,-      ,-
1000,           ,0               ,5479          ,true      ,0:00:32.248981  ,-      ,-
1000,           ,5398            ,5480          ,true      ,0:00:51.579570  ,-      ,-
2000,           ,0               ,10976         ,true      ,0:01:30.453520  ,-      ,Queries start to problem

100,            ,0               ,712           ,true      ,0:00:01.406726  ,#3555  ,-
100,            ,0               ,712           ,false     ,0:00:01.182925  ,#3555  ,-
100,            ,712             ,704           ,true      ,0:00:02.227715  ,#3555  ,-
1000,           ,0               ,7008          ,true      ,0:00:09.487206  ,#3555  ,-
1000,           ,0               ,7008          ,false     ,0:00:09.075270  ,#3555  ,-
1000,           ,7008            ,7000          ,true      ,0:00:44.159021  ,#3555  ,-
2000,           ,0               ,14008         ,true      ,0:00:19.701200  ,#3555  ,-
2000,           ,0               ,14008         ,false     ,0:00:17.898250  ,#3555  ,-
2000,           ,14008           ,14000         ,true      ,0:01:02.166005  ,#3555  ,Failed on count query

100,            ,0               ,712           ,true      ,0:00:00.942015  ,#3614  ,-
100,            ,0               ,712           ,false     ,0:00:00.666475  ,#3614  ,-
100,            ,712             ,704           ,true      ,0:00:01.007421  ,#3614  ,-
1000,           ,0               ,7008          ,true      ,0:00:04.720250  ,#3614  ,-
1000,           ,0               ,7008          ,false     ,0:00:03.808820  ,#3614  ,-
1000,           ,7008            ,7000          ,true      ,0:00:04.811015  ,#3614  ,-
2000,           ,0               ,14008         ,true      ,0:00:08.978641  ,#3614  ,-
2000,           ,0               ,14008         ,false     ,0:00:07.245110  ,#3614  ,-
2000,           ,14008           ,14000         ,true      ,0:00:09.089615  ,#3614  ,-
